,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,specialization,Doctor Name,rating,Available Date,Available time,Hospital Address,Hospital Address City,Symptoms
21,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Horatio Talman,3,15/05/2024,14:04:00,37134 Northridge Center,San Fabian,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
22,(vertigo) Paroymsal Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Bobina Oxby,1,13/05/2024,13:35:00,902 Elka Alley,Kecskemét,"headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
23,(vertigo) Paroymsal Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Tommi Ropkes,4,2024-11-05 00:00:00,08:28:00,569 Brown Point,Basing,"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
24,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Dimitry Carling,5,21/05/2024,09:44:00,13938 Duke Terrace,Ängelholm,"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
25,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Gabriel Gegg,5,25/04/2024,13:42:00,0293 Johnson Lane,Puerto Quellón,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
26,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Devondra Nisard,4,2024-11-05 00:00:00,13:27:00,564 Oriole Pass,Bershet’,"vomiting, headache, nausea, spinning_movements, unsteadiness"
27,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,,(ENT) specialist,Bonita Barrs,4,26/04/2024,15:21:00,48908 Susan Avenue,Kruisfontein,"vomiting, headache, nausea, spinning_movements, loss_of_balance"
28,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Valdemar Poundesford,5,30/05/2024,20:29:00,09 Reinke Court,Dumlan,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
29,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Blaine Barwack,1,2024-01-05 00:00:00,16:41:00,08550 Rigney Hill,Sriwing,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
30,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Lazarus Koppel,1,13/05/2024,19:16:00,990 Dawn Way,Cihaur,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
31,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Truman Hachard,5,2024-04-05 00:00:00,12:22:00,6 Sherman Street,Gŭlŭbovo,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
32,(vertigo) Paroymsal Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Luca Longhorne,4,30/05/2024,10:19:00,3 Glacier Hill Terrace,Ar Ramāḑīn,"headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
33,(vertigo) Paroymsal Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Findlay Beetles,1,29/05/2024,14:19:00,26 Graceland Court,Wupu,"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
34,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Tommie Duchenne,1,2024-10-05 00:00:00,11:24:00,512 Carberry Circle,Airmadidi,"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
35,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Felipe Budik,5,27/05/2024,08:50:00,5 Menomonie Park,Frontignan,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
36,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Amalia Willsmore,4,26/04/2024,09:21:00,6089 3rd Way,Ternopil’,"vomiting, headache, nausea, spinning_movements, unsteadiness"
37,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,,(ENT) specialist,Holly Phateplace,3,2024-02-05 00:00:00,12:33:00,43 South Alley,Carayaó,"vomiting, headache, nausea, spinning_movements, loss_of_balance"
38,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Kirby Sneyd,5,16/05/2024,15:34:00,3 Iowa Hill,Ruda-Huta,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
39,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Gus Mariner,5,28/04/2024,14:15:00,1 Acker Lane,Nailong,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
40,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Arron Castagnaro,5,19/05/2024,14:08:00,70 Mayer Junction,Jianping,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
41,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Casi Sorton,4,2024-05-05 00:00:00,09:42:00,4398 Birchwood Crossing,Mosta,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
42,(vertigo) Paroymsal Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Genny Blaksley,2,2024-12-05 00:00:00,12:36:00,54 Kensington Court,Binkolo,"headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
43,(vertigo) Paroymsal Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Wilfrid Petley,5,2024-08-05 00:00:00,14:35:00,050 Pierstorff Court,Conde,"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
44,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Rickard Alvaro,3,2024-03-05 00:00:00,12:37:00,526 Bartelt Point,Ādilpur,"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
45,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Meris Brougham,4,25/04/2024,09:57:00,47 Blue Bill Park Crossing,Tembisa,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
46,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Darline Hubach,4,28/04/2024,17:50:00,7 Logan Park,El Carmen,"vomiting, headache, nausea, spinning_movements, unsteadiness"
47,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,,(ENT) specialist,Hesther Polle,1,16/05/2024,15:52:00,42543 Farragut Point,Nairobi,"vomiting, headache, nausea, spinning_movements, loss_of_balance"
48,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Bearnard Alphege,3,21/05/2024,17:21:00,16760 American Junction,Seredeyskiy,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
49,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Tina Chaikovski,4,2024-09-05 00:00:00,13:02:00,66923 Kinsman Alley,Nurabelen,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
50,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Jesselyn Meco,1,2024-09-05 00:00:00,15:09:00,50778 Alpine Road,Lizhai,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
51,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Dane Fawcus,1,19/05/2024,11:11:00,5 Green Terrace,Aoluguya Ewenke Minzu,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
52,(vertigo) Paroymsal Positional Vertigo,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Deb Cuthbert,3,25/05/2024,13:22:00,6756 Duke Pass,Pensacola,"headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
53,(vertigo) Paroymsal Positional Vertigo,vomiting,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Parker Cotton,1,22/05/2024,19:45:00,9 Manitowish Road,Krasica,"vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
54,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Vincenz Moynham,4,17/05/2024,10:09:00,5390 Southridge Road,Richibucto,"vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
55,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Denise Myhan,4,15/05/2024,12:47:00,975 Stephen Avenue,Kobarid,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
56,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Trenton Clyne,4,25/04/2024,18:18:00,62 Old Gate Hill,Quinta do Sobrado,"vomiting, headache, nausea, spinning_movements, unsteadiness"
57,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,,(ENT) specialist,Aluin Antonomoli,1,2024-08-05 00:00:00,11:15:00,8594 Moland Road,Miejsce Piastowe,"vomiting, headache, nausea, spinning_movements, loss_of_balance"
58,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Larina Goldsberry,4,28/05/2024,10:50:00,8651 Birchwood Point,Ternate,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
59,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,,(ENT) specialist,Far Busby,2,27/05/2024,08:36:00,78507 Dakota Junction,Shiqiao,"vomiting, headache, nausea, loss_of_balance, unsteadiness"
60,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Trstram Braney,1,16/05/2024,10:37:00,4 Eagan Lane,Gaoxu,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
61,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Celestyn Seldon,3,30/04/2024,08:02:00,43754 Hoepker Place,Karanglincak,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
62,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Eduardo Sleit,5,2024-04-05 00:00:00,08:53:00,952 Melby Junction,Ranchuelo,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
63,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Ravi Apark,3,24/05/2024,13:16:00,21595 6th Alley,Shisui,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
64,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Tad Gutierrez,2,2024-10-05 00:00:00,20:18:00,6810 Arapahoe Street,Chivilcoy,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
65,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Berrie McKeevers,3,26/04/2024,20:33:00,55445 Dapin Lane,Guantang,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
66,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Marty Dodgson,3,2024-03-05 00:00:00,16:39:00,1 Stuart Terrace,Chalaco,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
67,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Sigismondo Windybank,2,30/05/2024,11:53:00,826 Stone Corner Center,Rū-ye Sang,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
68,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Tobie Shepley,3,23/05/2024,14:18:00,1845 Mcguire Pass,Święciechowa,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
69,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Blinni Hewlings,4,2024-08-05 00:00:00,10:08:00,15 Clove Court,Lazaro Cardenas,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
70,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Mathian Fasham,4,23/05/2024,14:42:00,141 Dottie Park,Portland,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
71,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Georgette Drage,1,25/05/2024,19:33:00,55 Armistice Point,Chateaubelair,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
72,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Jo ann Braisby,2,2024-05-05 00:00:00,08:14:00,90035 Forest Lane,Chouto,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
73,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Ryon Kinnin,2,2024-09-05 00:00:00,12:15:00,8063 Hayes Crossing,Longhua,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
74,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Elise Jobson,2,30/05/2024,17:44:00,55011 Tony Trail,Sindi,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
75,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Calhoun Faire,4,30/04/2024,09:19:00,101 Northview Street,Yulin,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
76,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Kaiser Glennard,5,18/05/2024,17:53:00,0983 International Place,Lauro de Freitas,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
77,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Desdemona Craythorn,4,28/04/2024,19:02:00,73664 Morrow Drive,Gadon,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
78,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Caril Clampin,4,22/05/2024,09:07:00,784 Lakewood Gardens Drive,Novopavlovsk,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
79,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Andriette Crauford,3,2024-11-05 00:00:00,11:58:00,1605 6th Point,Cotia,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
80,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Simon Obert,4,14/05/2024,10:46:00,621 Stephen Junction,Shagang,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
81,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Webster Wannan,1,28/05/2024,16:13:00,3 Continental Lane,Oemofa,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
82,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Cathi Adacot,4,16/05/2024,19:19:00,9693 West Street,Växjö,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
83,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Silvia Mulqueeny,3,2024-02-05 00:00:00,15:36:00,5462 Tomscot Avenue,Xiangxi,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
84,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Lock Biford,2,14/05/2024,11:59:00,835 Oxford Avenue,Ilići,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
85,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Larine Tuminelli,3,2024-12-05 00:00:00,10:52:00,0634 Garrison Lane,Kulpin,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
86,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Major Adamczyk,2,29/05/2024,09:52:00,3 Esker Lane,Mungyeong,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
87,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Tod Farnhill,2,30/05/2024,19:27:00,98282 Roxbury Parkway,Pallasovka,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
88,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Orazio Selley,3,2024-08-05 00:00:00,16:18:00,888 Lindbergh Hill,Zyukayka,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
89,(vertigo) Paroymsal Positional Vertigo,vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,(ENT) specialist,Lamar Moorman,4,23/05/2024,13:34:00,21260 Eggendart Center,Dongying,"vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
